adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/hvFdjSEPveRmYXu4jazOQFjjDu3.jpg,"[18, 36]",458131,The Best of Enemies,en,The Best of Enemies,"Centers on the unlikely relationship between Ann Atwater, an outspoken civil rights activist, and C.P. Ellis, a local Ku Klux Klan leader who reluctantly co-chaired a community summit, battling over the desegregation of schools in Durham, North Carolina during the racially-charged summer of 1971. The incredible events that unfolded would change Durham and the lives of Atwater and Ellis forever.",1.9845,/4pA9318BY7CSnXVi3xKBtPYMe1T.jpg,2019-04-05,False,False,7.39,485
False,/ci8NMpK3HvuySQRGPMAPyBSlL7f.jpg,[18],13393,My Father and My Son,tr,Babam ve Oğlum,"A left-wing journalist whose wife died while giving birth to his son during a military coup returns to his family's farm. Estranged from his father for turning his back on the family and wasting his life with political activism instead, he tries to reconnect with him so that his son will have a place to live as his health is deteriorating due to the extensive torture he had to endure.",0.8901,/ephCcqJYZFUnkQC7Oudah2qUL6O.jpg,2005-11-18,False,False,7.39,386
False,/eRzwmzyz4sSq2QqjXWehWNkU0Us.jpg,"[35, 18]",4203,Women on the Verge of a Nervous Breakdown,es,Mujeres al borde de un ataque de nervios,"After being dumped by her lover, Pepa finds her life and the lives of those around her spiraling out of control in a deliciously chaotic series of events.",1.7412,/8C5FJlUo96pj1xAs2BKnB58PYzi.jpg,1988-03-25,False,False,7.39,1011
False,/g03h9TULzJZOoXA34Abp5LE7lvt.jpg,"[16, 14, 12]",876792,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,ja,劇場版 転生したらスライムだった件 紅蓮の絆編,"A long-running conspiracy is swirling over a mysterious power wielded by the Queen in Raja, a small country west of Tempest. When a slime who evolved into a Demon Lord named Rimuru Tempest crosses paths with Hiiro, a survivor of the Ogre race, an incredible adventure packed with new characters begins. The power of bonds will be put to the test!",5.9743,/xITip9n9uMAUA0TU6niMXU2tbh0.jpg,2022-11-25,False,False,7.389,438
False,/wRxLAw4l17LqiFcPLkobriPTZAw.jpg,"[28, 53, 80]",697843,Extraction 2,en,Extraction 2,"Back from the brink of death, highly skilled commando Tyler Rake takes on another dangerous mission: saving the imprisoned family of a ruthless gangster.",10.3505,/7gKI9hpEMcZUQpNgKrkDzJpbnNS.jpg,2023-06-09,False,False,7.389,2941
False,/ygiO8LyMEcHa8dwg0aLCpybPlP0.jpg,"[35, 18]",290762,Miss You Already,en,Miss You Already,The friendship between two life-long girlfriends is put to the test when one starts a family and the other falls ill.,2.1793,/cvA686C7O8MwXhFIaql4ui6eR0p.jpg,2015-09-12,False,False,7.389,709
False,/dFXGxxVSwb9tYNfKMeFnxORmBlt.jpg,"[35, 18, 10749]",37916,Swept Away,it,Travolti da un insolito destino nell'azzurro mare d'agosto,"A wealthy woman's yachting holiday with friends in the Mediterranean Sea takes an unexpected turn when she and one of the boat's crew are stranded on a desert island. Her capitalist beliefs and his communist convictions clash, but during their struggle to survive, social roles are reversed and heated passions come alive.",1.3421,/8bkEUeQWVFBk3HE4qhluDarTMDj.jpg,1974-12-18,False,False,7.4,338
False,/m1Gei9O5GfLoJHQjBaxWBSkXX2y.jpg,"[18, 10749]",5967,The Umbrellas of Cherbourg,fr,Les Parapluies de Cherbourg,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.",2.7176,/tAgTf64XKK5ir7w5C7dnB53jWWG.jpg,1964-02-19,False,False,7.4,894
False,/eXCKkX8LVo1vRK4GhVoo0bA8jHM.jpg,"[9648, 18, 80]",1847,The Long Goodbye,en,The Long Goodbye,"In 1970s Hollywood, Detective Philip Marlowe tries to help a friend who is accused of murdering his wife.",2.9413,/16Gu0Vg7tBdoRxg1NJDwlTKx1hG.jpg,1973-03-08,False,False,7.389,776
False,/hX3kteYoGqvoPpSlqg6nryFL6xR.jpg,"[35, 18, 10749, 10751]",382748,Stargirl,en,Stargirl,"An unassuming high schooler finds himself inexplicably drawn to the free-spirited new girl, whose unconventional ways change how they see themselves…and their world.",2.4125,/gwsrtzSrr7G6xjxsa7IwaAMHpEF.jpg,2020-03-10,False,False,7.388,572
